Desayunos,Comidas,Cenas
Tortilla de espinacas y queso,"Ensalada de pollo con aguacate, aceite de oliva y nueces",Pescado  con espárragos
Huevos revueltos con tocino.,"Ensalada de atún con mayonesa y verduras: sin papa ni zanahoria (elotes, chícharos)",Pechuga de pollo al horno con brócoli al vapor
Quesadillas de queso fritas en aceite de coco,Omelette de champiñones y queso,Picadillo  con chícharo
Yogur natural con nueces y semillas (chía),Pescado con verduras,Aguacates rellenos de atún
Huevos con jamón y queso,"Ensalada de pollo con aceite de oliva, espinacas y aguacate",Pescado al horno con mantequilla y espárragos
Huevos con espinaca o acelga,Hongos portobelo con queso de cabra y jitomate,Quesadillas de queso
Enfrijoladas con queso y crema,Bistec a la mexicana,Tostadas de tinga con queso y crema
"Yogur natural sin azúcar con nueces, pasas, chía, etc.",Picadillo  con chícharo,Enchiladas con crema y queso
Huevos revueltos con albahaca y mantequilla ghee,Ensalada de champiñon con verduras,Hongos portobelo con queso de cabra y jitomate
Huevos estrellados con tocino,Crema de Huitlacoche y Pechugas asadas,"Tostadas con frijoles, crema y queso"
Tostadas de tinga con queso y crema,Crema de berenjena y Bistec asado,Sopa de hongos
Aguacates rellenos de camarón,Tortitas de amaranto,Sopa de verduras
"Alambre keto: carne molida, tocino, longaniza y queso fundido",Ensalada césar con pechuga de pollo en tiras,Rollitos de jamón con queso
Quesadillas de huitlacoche,Pollo frito con mantequilla y brócoli,Huevos fritos con mantequilla y cornflakes
Tacos de queso chilchota,Pechuga de pollo rellena de queso con guacamole,Huevo con aguacate
Huevo con aguacate y tocino,Ensalada de atún con aguacate,Ensalada de pollo con lechuga y mayonesa
"Omelette de queso, jitomate y tocino",Champiñones rellenos de queso de cabra y nuez,"Tacos de la calle (pastor, suadero, etc.)"
Huevo a la mexicana,Filete de pescado a la mantequilla con verduras al vapor,Huevos duros con tocino
Huevo en caldillo de tomate,"Tacos placeros (chicharrón, aguacate, queso fresco, nopales, etc.)",Aguacates rellenos de camaroncitos
Chicharrón en salsa verde o roja,Tacos dorados de pollo,"Yogur natural sin azúcar con nueces, pasas, chía, etc."
